scenario,seed,method,params,interval_slots,telemetry_delay_slots,wall_s,realised_load,mantissa_bits,violation_ratio,weighted_violation_ratio,violation_ratio_ll,violation_ratio_embb,served_ratio,fh_utilisation,fh_allocated_fraction,fh_unused_allocation_fraction,offered_fh_load,mean_queueing_delay_ms,p99_queueing_delay_ms,mean_backlog_bits,jain_fairness_service_ratio,min_cell_service_ratio,residual_backlog_bits,decision_time_ms_mean,decision_time_ms_p95,num_decisions,slots_counted,controller_stats
moderate,3000,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2709784720000243,0.4348285553388525,6,0.0007806853839503892,0.0007157899647277034,0.0005755157608317794,0.0008424260943035521,0.9992961897160805,0.43683502380865885,1.0,0.5631649761913411,0.43656912677766607,0.7618364139105599,6.5,1688444.7967399836,0.9999991862837155,0.9977844059691225,290768.0128004678,0.03276494801230001,0.03930660004698438,1000,19000,
moderate,3000,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.3941483540002082,0.4348285553388525,6,0.0007927111435963713,0.0006093878242376633,0.0002131266861385431,0.0009671227137361281,0.9993010201590363,0.436825536554224,1.0,0.563174463445776,0.43656912677766607,1.0554978344967498,7.5,2335363.6003879276,0.9999988847705185,0.9974399216866928,0.0,0.08609837097901618,0.11076269970544671,1000,19000,
moderate,3000,point_forecast,"{""margin"": 0.0}",20,2,3.6292801660001714,0.4348285553388525,6,0.000670991582849541,0.00046872792879016907,3.152645309123834e-05,0.0008634227564182078,0.9994243438438528,0.4368891739843312,1.0,0.5631108260156688,0.43656912677766607,1.0222868894822028,7.0,2260716.1766192704,0.9999990997446425,0.9977368171781762,69699.9078159848,2.2824017940019985,2.527413850020821,1000,19000,
moderate,3000,proposed,{},20,2,3.706550199999583,0.4348285553388525,6,0.0005850321018817498,0.0003999856854909722,0.0,0.0007610830055221093,0.9995119996990797,0.43693804681237225,1.0,0.5630619531876278,0.43656912677766607,0.8826977168648089,6.0,1952391.9166523751,0.9999992799533189,0.9979208019522217,94821.28338240332,2.351534313994307,2.6011332006874,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
moderate,3001,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2772373909992893,0.4322189779396321,6,0.0017762920567161648,0.0023219960560182176,0.0034051907911820246,0.0012278225543064325,0.9980308590331544,0.4317804720296911,1.0,0.568219527970309,0.43222733056206797,0.8806847835719986,8.5,1990404.6125911144,0.999994257932433,0.9921898917664015,4356642.6523438115,0.03545884301274782,0.046610049685114056,1000,19000,
moderate,3001,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.359135578999485,0.4322189779396321,6,0.0015094315932853745,0.00141956711552771,0.0012411906892785993,0.0015997514836711794,0.9983472661707755,0.4319496464362883,1.0,0.5680503535637117,0.43222733056206797,1.1267045501968977,9.5,2543747.9038832798,0.999994619598726,0.9922162418214834,4622042.464946462,0.08445662800386344,0.11337245032336794,1000,19000,
moderate,3001,point_forecast,"{""margin"": 0.0}",20,2,3.588955944999725,0.4322189779396321,6,0.0013499907010961916,0.001169633832731222,0.0008116346051033654,0.0015312615768362085,0.9985016248767783,0.43200297857319525,1.0,0.5679970214268047,0.43222733056206797,1.0795194668918053,9.0,2437241.914402977,0.9999941133675899,0.9920486824968486,4590827.519720448,2.283098796990089,2.504596400376613,1000,19000,
moderate,3001,proposed,{},20,2,3.5600991339997563,0.4322189779396321,6,0.0008051253931997658,0.0006511241084489028,0.0003454393763158257,0.0009599071212534263,0.9990694622959108,0.43223124131628904,1.0,0.567768758683711,0.43222733056206797,0.9501184608502677,8.0,2139167.6863666195,0.9999942479657898,0.9924898770089406,4130358.145888956,2.265720472002613,2.432139050006299,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
moderate,3002,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2214571479998995,0.4175033655990312,6,0.0007299697636935008,0.0007516843655090941,0.0007934841319023235,0.0007076834139539676,0.9992881053566894,0.4173295778573161,1.0,0.5826704221426839,0.4170896842333581,0.755439591371338,7.5,1616724.9046338678,0.9999991016072364,0.9975788338068029,646884.8245000622,0.03161953400103812,0.038300099731714,1000,19000,
moderate,3002,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.2639137759997539,0.4175033655990312,6,0.0008636241931023976,0.0006676557428977175,0.0002904240759962074,0.0010647525147849761,0.9991618856881403,0.4172551463059792,1.0,0.5827448536940208,0.4170896842333581,0.9923002372807757,8.0,2124663.585803907,0.9999982078274801,0.9964538930731379,530699.5299241404,0.07471366799836687,0.08699349941707621,1000,19000,
