[runner] 200 runs in 134s
       scenario          method  weighted_violation_ratio_mean  weighted_violation_ratio_std  violation_ratio_ll_mean  violation_ratio_embb_mean  fh_utilisation_mean  decision_time_ms_mean_mean
           high    static_equal                       0.152681                      0.020213                 0.098091                   0.203989             0.659484                    0.016947
           high   reactive_prop                       0.089405                      0.011467                 0.145611                   0.035376             0.747097                    0.032666
           high     queue_aware                       0.108567                      0.018437                 0.049705                   0.164481             0.692388                    0.081303
           high  point_forecast                       0.096268                      0.018180                 0.029968                   0.159230             0.699976                    2.273588
           high proposed_window                       0.085965                      0.017385                 0.034231                   0.135260             0.712854                    2.224002
           high        proposed                       0.078884                      0.017124                 0.031900                   0.123496             0.720143                    3.356050
           high    proposed_cal                       0.081205                      0.017964                 0.026063                   0.133812             0.715485                    3.478793
           high          oracle                       0.068998                      0.016830                 0.000330                   0.134399             0.720882                    0.077132
            low    static_equal                       0.041565                      0.011527                 0.012112                   0.069346             0.473095                    0.016610
            low   reactive_prop                       0.007468                      0.003353                 0.015242                   0.000000             0.498299                    0.033285
            low     queue_aware                       0.003917                      0.001821                 0.006702                   0.001210             0.498959                    0.078503
            low  point_forecast                       0.001762                      0.000987                 0.002756                   0.000796             0.499703                    2.331830
            low proposed_window                       0.001699                      0.000424                 0.003386                   0.000094             0.499884                    1.465855
            low        proposed                       0.000826                      0.000378                 0.001588                   0.000095             0.500158                    2.581574
            low    proposed_cal                       0.000906                      0.000211                 0.001770                   0.000079             0.500145                    2.567252
            low          oracle                       0.000091                      0.000088                 0.000000                   0.000182             0.500387                    0.076405
       moderate    static_equal                       0.093836                      0.017703                 0.046973                   0.137966             0.576137                    0.017120
       moderate   reactive_prop                       0.038142                      0.007079                 0.072885                   0.004777             0.634707                    0.032633
       moderate     queue_aware                       0.040738                      0.009484                 0.030580                   0.050228             0.620408                    0.079008
       moderate  point_forecast                       0.031070                      0.008690                 0.016140                   0.045114             0.625406                    2.342335
       moderate proposed_window                       0.024066                      0.005632                 0.018906                   0.028943             0.632578                    2.085753
       moderate        proposed                       0.019987                      0.005932                 0.013142                   0.026416             0.634724                    3.298084
       moderate    proposed_cal                       0.020181                      0.006073                 0.013056                   0.026926             0.634499                    3.303396
       moderate          oracle                       0.015610                      0.005956                 0.000025                   0.030394             0.635444                    0.077177
overload_bursts    static_equal                       0.193001                      0.020718                 0.126329                   0.248415             0.681452                    0.017013
overload_bursts   reactive_prop                       0.122463                      0.016538                 0.175978                   0.071779             0.787069                    0.034370
overload_bursts     queue_aware                       0.146980                      0.026724                 0.060907                   0.223575             0.713895                    0.083244
overload_bursts  point_forecast                       0.134432                      0.026510                 0.038721                   0.219397             0.721512                    2.411589
overload_bursts proposed_window                       0.126717                      0.025912                 0.041832                   0.202471             0.732165                    2.296380
overload_bursts        proposed                       0.118240                      0.025600                 0.043483                   0.184480             0.743202                    3.497372
overload_bursts    proposed_cal                       0.122406                      0.026213                 0.033679                   0.202267             0.734317                    3.581138
overload_bursts          oracle                       0.102063                      0.025736                 0.002635                   0.191303             0.748447                    0.082259
          shift    static_equal                       0.236523                      0.041761                 0.200277                   0.266326             0.553955                    0.017097
          shift   reactive_prop                       0.129151                      0.034707                 0.154550                   0.103771             0.650853                    0.032383
          shift     queue_aware                       0.142114                      0.044369                 0.114786                   0.165521             0.624908                    0.079109
          shift  point_forecast                       0.129309                      0.044482                 0.085641                   0.167698             0.629553                    2.268446
          shift proposed_window                       0.118016                      0.045572                 0.068510                   0.162527             0.635451                    2.228238
          shift        proposed                       0.115930                      0.042683                 0.076048                   0.151465             0.640210                    3.356465
          shift    proposed_cal                       0.129474                      0.051657                 0.053590                   0.197651             0.618907                    3.444737
          shift          oracle                       0.082349                      0.041443                 0.014894                   0.142980             0.657262                    0.076941
