scenario,seed,method,params,interval_slots,telemetry_delay_slots,wall_s,realised_load,violation_ratio,weighted_violation_ratio,violation_ratio_ll,violation_ratio_embb,served_ratio,fh_utilisation,fh_allocated_fraction,fh_unused_allocation_fraction,offered_fh_load,mean_queueing_delay_ms,p99_queueing_delay_ms,mean_backlog_bits,jain_fairness_service_ratio,min_cell_service_ratio,residual_backlog_bits,decision_time_ms_mean,decision_time_ms_p95,num_decisions,slots_counted,controller_stats
low,3000,static_equal,{},20,2,1.2048737810000603,0.4929230586837194,0.05370850590720411,0.03802029338956469,0.004109555962774886,0.06863407995560848,0.9463138248530848,0.46760502419237965,1.0,0.5323949758076204,0.4948961761042367,2.2405528210661525,10.0,4481606.258480995,0.9982941214917488,0.8967354480180767,2024270.1025435468,0.016600113001913996,0.019049100001211627,1000,19000,
low,3000,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.244856071999493,0.4929230586837194,0.0020431937351535977,0.0041907866805134366,0.008832900011642742,0.0,0.9980351450604704,0.49464619754747524,1.0,0.5053538024525248,0.4948961761042367,0.8641819938774263,5.5,1465366.3230241751,0.9999745713939964,0.9863644487705951,925317.7217164802,0.031533175006188685,0.03642924993982888,1000,19000,
low,3000,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.283141687999887,0.4929230586837194,0.0017232102660178208,0.0023908379052150455,0.003833943392613887,0.0010880374727887962,0.9983765691487725,0.4948649719860228,1.0,0.5051350280139772,0.4948961761042367,1.3260553692947563,7.5,2255910.036648756,0.9999953133846982,0.994324673242322,623905.0545878193,0.07455785299771378,0.08662090026518854,1000,19000,
low,3000,point_forecast,"{""margin"": 0.0}",20,2,3.7579222419999496,0.4929230586837194,0.0007331231768102911,0.0007257782972386673,0.0007099020282051699,0.0007401110056531005,0.99939335207292,0.4954493309930305,1.0,0.5045506690069694,0.4948961761042367,1.235936328815439,6.5,2098815.764232999,0.9999991817098425,0.9977740320626042,322607.2736157936,2.3852909520182948,2.8752972007623607,1000,19000,
low,3000,proposed_window,{},20,2,2.666157710000334,0.4929230586837194,0.0006451945717015815,0.0013233560630623678,0.0027892309191454683,0.0,0.9993062787480934,0.4953569020638506,1.0,0.5046430979361494,0.4948961761042367,1.3264734264679636,6.0,2244441.425458404,0.9999973639751691,0.9956471914940661,2670939.7032537684,1.3864046260077885,2.163630849418041,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
low,3000,proposed,{},20,2,3.7826684350002324,0.4929230586837194,0.0002799409045753022,0.0005741856946996101,0.0012102083012194538,0.0,0.9998711568742242,0.4956854533139389,1.0,0.5043145466860611,0.4948961761042367,1.11693069274748,6.0,1889253.7774205322,0.9999993326712259,0.998112909874928,149737.370499627,2.4593144859854874,3.306438350409735,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
low,3000,proposed_cal,"{""gamma"": 0.005}",20,2,3.821097794999332,0.4929230586837194,0.00030065934447597156,0.0006166812057629386,0.001299775876183697,0.0,0.9998520445467419,0.4956668557959828,1.0,0.5043331442040172,0.4948961761042367,1.0803489820459982,5.5,1827434.871559991,0.9999993327873626,0.9984743915593647,106563.44374459417,2.4912864500074647,3.351023899313077,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.07200000000000009}"
low,3000,oracle,{},20,2,1.3268197489996965,0.4929230586837194,0.0001114511429931345,7.619900119236849e-05,0.0,0.00014498960075054855,0.9999755696983439,0.49575587395507026,1.0,0.5042441260449297,0.4948961761042367,0.8309162792237126,4.5,1407004.448915223,0.9999998934478127,0.9992677476447426,0.0,0.07885817300029885,0.09819860015340964,1000,19000,
low,3001,static_equal,{},20,2,1.2051028380001299,0.48996483329189056,0.05054735581991644,0.040152520952586555,0.019519301449724594,0.060994869333849976,0.9495809295026129,0.4673200337689405,1.0,0.5326799662310595,0.48997430185173696,2.0118475530021045,10.0,4085898.797857454,0.9992267880426762,0.9092159423851655,3979437.230408622,0.016624943998067465,0.01917215004141326,1000,19000,
low,3001,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.4001238069995452,0.48996483329189056,0.0039950921569482205,0.007970040186051653,0.015860110229850916,0.0,0.9957568743458003,0.48855341543830805,1.0,0.5114465845616919,0.48997430185173696,0.8971462518324185,5.5,1551157.566339871,0.9999434511148119,0.982533079656289,4626169.662480654,0.03697055897555401,0.0759332496272691,1000,19000,
