scenario,method,weighted_violation_ratio_mean,weighted_violation_ratio_std,violation_ratio_mean,violation_ratio_std,violation_ratio_ll_mean,violation_ratio_ll_std,violation_ratio_embb_mean,violation_ratio_embb_std,fh_utilisation_mean,fh_utilisation_std,fh_unused_allocation_fraction_mean,fh_unused_allocation_fraction_std,mean_queueing_delay_ms_mean,mean_queueing_delay_ms_std,p99_queueing_delay_ms_mean,p99_queueing_delay_ms_std,jain_fairness_service_ratio_mean,jain_fairness_service_ratio_std,min_cell_service_ratio_mean,min_cell_service_ratio_std,decision_time_ms_mean_mean,decision_time_ms_mean_std,realised_load_mean,realised_load_std
high,static_equal,0.15268132484409175,0.02021334458209535,0.17869670363255502,0.02339002712529994,0.09809081600841138,0.022148469839920644,0.20398920041808602,0.027131375655920775,0.659484446762227,0.015075421750545657,0.3405155532377731,0.015075421750545681,3.296138456504539,0.18276365846681292,10.0,0.0,0.9943526473163657,0.0024327882548753487,0.7335114443368049,0.04373124247329036,0.016946640407149972,0.0009450051338269623,0.7975799923138776,0.03221204206147782
high,reactive_prop,0.08940535897139262,0.011467328146286848,0.062155931453036294,0.01031026981316648,0.14561117315620625,0.015088949560586873,0.03537587036784776,0.010569619486186174,0.7470968628377925,0.024533513731604683,0.2529031371622075,0.024533513731604686,3.1507951410416215,0.3421146851878754,10.0,0.0,0.9963570767990315,0.000771849671216509,0.8470978808665949,0.013580209096746926,0.03266570698287978,0.0005874653242141368,0.7975799923138776,0.03221204206147782
high,queue_aware,0.10856705122987734,0.018437355435260136,0.1368458781401149,0.02454019421194685,0.04970547239513247,0.006167377078767387,0.16448093269265995,0.03014964391148585,0.6923882781564333,0.013305070509493247,0.30761172184356667,0.01330507050949324,4.338123953498249,0.31168913867139636,10.0,0.0,0.9954862715298185,0.0016164562862276024,0.7982500225797228,0.030857607470061967,0.08130343819921108,0.0019589672468782655,0.7975799923138776,0.03221204206147782
high,point_forecast,0.09626842534810602,0.01818015076849074,0.12811358441751924,0.02452863319104116,0.029967729110665097,0.0066865081255361464,0.15922975111739818,0.030299331998974773,0.6999763918594648,0.013661363465468953,0.3000236081405352,0.01366136346546899,4.220803736648186,0.3262491881670537,10.0,0.0,0.9945439458872007,0.0018486531322955441,0.802231226543119,0.03152701304999781,2.2735879252031737,0.035925794713638416,0.7975799923138776,0.03221204206147782
high,proposed_window,0.0859646421277382,0.017384950530966253,0.11087821939760882,0.024392706253055094,0.0342306941824377,0.0034472230689568434,0.1352602950532506,0.03114832579153352,0.7128538513732486,0.01488025120082674,0.28714614862675136,0.014880251200826727,4.427863524235372,0.3116885710376244,10.0,0.0,0.9966263787524161,0.0016394756207392244,0.8325570939747612,0.03208535117334437,2.2240024647977408,0.06006846638223453,0.7975799923138776,0.03221204206147782
high,proposed,0.07888376205590206,0.017124189039784736,0.10144907647848356,0.022925021696011225,0.03189969064032042,0.005044998017137698,0.12349575413904108,0.028337253703254014,0.720143337453112,0.01584828569143506,0.279856662546888,0.015848285691435066,4.2214267362828375,0.3346597239807673,10.0,0.0,0.9972472364263961,0.0010729315781184388,0.8449354659507838,0.026280058000650305,3.3560503602067913,0.06350457891320042,0.7975799923138776,0.03221204206147782
high,proposed_cal,0.08120462206928755,0.017963935541195332,0.10778522054584525,0.02466342728218483,0.02606254976723401,0.004053139546858179,0.13381157513787503,0.031220615320587133,0.7154852810816476,0.015614203604313821,0.2845147189183525,0.015614203604313856,4.3060661883853815,0.3347907103712479,10.0,0.0,0.9962771103510434,0.001608326105023027,0.8335374324022181,0.03198964510351625,3.478793416200824,0.049712734597463615,0.7975799923138776,0.03221204206147782
high,oracle,0.06899800176600517,0.01682956980748303,0.10205455537065582,0.023957248725802762,0.00033018873353790146,0.00034297160617145214,0.13439859538601842,0.03064953260755049,0.7208824042869942,0.01570153699647439,0.2791175957130058,0.015701536996474384,3.6861588901802613,0.33186597870827267,10.0,0.0,0.9944910668590934,0.0020645806804821492,0.8305274506355449,0.036018519968409865,0.07713237221214513,0.001370613572487132,0.7975799923138776,0.03221204206147782
low,static_equal,0.04156516210116608,0.011527172600051427,0.05563958130066045,0.014537834659056021,0.012111867590407976,0.007671985257442445,0.06934610645623542,0.017406235014319735,0.47309484389594314,0.014297991003735695,0.5269051561040569,0.014297991003735676,2.175023351887419,0.2930945799987657,10.0,0.0,0.9986332338929003,0.0005642944020187731,0.8919327380428539,0.026045153991623285,0.01661020039991854,0.00021142509256623284,0.4984874951961734,0.02013252628842363
low,reactive_prop,0.0074683907903907954,0.00335346709890165,0.0037010772112443524,0.001683384947841077,0.015241735120117603,0.006678215764005277,0.0,0.0,0.49829942046753456,0.01994513684806799,0.5017005795324654,0.019945136848067962,0.9396279746064924,0.10302429329567714,5.7,0.4472135954999579,0.9999292571128393,5.7137109690650665e-05,0.9806627543273434,0.006534684803229118,0.03328499240233214,0.0025187403307233417,0.4984874951961734,0.02013252628842363
