scenario,seed,method,params,interval_slots,telemetry_delay_slots,wall_s,realised_load,violation_ratio,weighted_violation_ratio,violation_ratio_ll,violation_ratio_embb,served_ratio,fh_utilisation,fh_allocated_fraction,fh_unused_allocation_fraction,offered_fh_load,mean_queueing_delay_ms,p99_queueing_delay_ms,mean_backlog_bits,jain_fairness_service_ratio,min_cell_service_ratio,residual_backlog_bits,decision_time_ms_mean,decision_time_ms_p95,num_decisions,slots_counted,controller_stats
high,3000,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",4,2,1.546285290999549,0.788676893893951,0.030218973497490392,0.03210638950141996,0.03618611932739037,0.028423308931172224,0.9697679308702201,0.7670724759905406,1.0,0.23292752400945935,0.7918338817667788,2.1095162772759966,10.0,6173651.712357101,0.9998690116959874,0.9537507425801193,5864307.064876253,0.031712492195038064,0.0355791506535752,5000,19000,
high,3000,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",4,2,1.6668353519999073,0.788676893893951,0.10252347532016942,0.07092960254091453,0.0026381051566150304,0.13258150054850137,0.8969394052149282,0.711018909989367,1.0,0.28898109001063305,0.7918338817667788,3.1023106717431075,10.0,10301389.375108,0.9943716709051786,0.8342670345342192,18934037.782706615,0.0596445785893593,0.0722649002000253,5000,19000,
high,3000,point_forecast,"{""margin"": 0.0}",4,2,14.139694819000397,0.788676893893951,0.08621206595202735,0.059515066176253247,0.0018083676941015997,0.11161126592943241,0.9132917400172927,0.7240950086368771,1.0,0.2759049913631228,0.7918338817667788,2.914645539617131,10.0,9537197.302844562,0.9960044265785077,0.8635992814434353,17712750.929630764,2.4677768849898714,3.1679587507369473,5000,19000,
high,3000,proposed,{},4,2,17.18914868199954,0.788676893893951,0.03749695091423253,0.025829825348910037,0.000610838091681934,0.04859691187928554,0.962362538571938,0.7623278007603316,1.0,0.23767219923966848,0.7918338817667788,2.543459416031728,10.0,7638016.796222966,0.9992247947086167,0.9300431389790005,8624005.487004574,3.0781802866007637,3.748635050487793,5000,19000,"{""decisions"": 5000, ""scored_horizons"": 4998, ""delta_mean_abs"": 0.0}"
high,3000,oracle,{},4,2,1.628687113999149,0.788676893893951,0.09200262873115844,0.06290207734180364,0.0,0.11968853839886917,0.9074629345701676,0.7198400876483968,1.0,0.28015991235160315,0.7918338817667788,2.7859799452987235,10.0,9341859.431415353,0.9953255885006201,0.8551602840722379,18119926.331938215,0.05647020020132913,0.06617089966312051,5000,19000,
high,3001,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",4,2,1.5535208699993746,0.7839437332670249,0.03901965524041424,0.043077406417758334,0.051131836507194064,0.034941340307800814,0.9609810918385218,0.7533757200974088,1.0,0.2466242799025912,0.783958882962779,2.029293474194992,10.0,6155120.656067819,0.9997879293069646,0.9407584160700161,7576760.977334155,0.03191789900538424,0.037501849965337904,5000,19000,
high,3001,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",4,2,1.6452754239999194,0.7839437332670249,0.11348546770465348,0.07643592699041271,0.0028944695460274687,0.15072276702083667,0.886820968363639,0.7001888034475949,1.0,0.29981119655240507,0.783958882962779,2.9075748028194055,10.0,10193070.553849874,0.993788368738835,0.8246161967098261,9282312.411915401,0.05939340720015025,0.07184915002653725,5000,19000,
high,3001,point_forecast,"{""margin"": 0.0}",4,2,13.811946793000061,0.7839437332670249,0.0944545776248278,0.0637281507325802,0.0027377532228564164,0.12533671902378066,0.9059277368679711,0.7141726226890961,1.0,0.28582737731090385,0.783958882962779,2.680321560966968,10.0,9256157.789032571,0.9957567079272734,0.8517867229334527,6994744.194283767,2.4170497489925764,2.772396400087019,5000,19000,
high,3001,proposed,{},4,2,16.947643419999622,0.7839437332670249,0.047701033307027685,0.03202140580889819,0.0008981412240207787,0.06346012157258567,0.9525644000858384,0.7484916149380868,1.0,0.25150838506191314,0.783958882962779,2.399881047152455,10.0,7591542.535748153,0.9988037840093821,0.9183653819974704,7631583.382807118,3.037234483208158,3.820817599716975,5000,19000,"{""decisions"": 5000, ""scored_horizons"": 4998, ""delta_mean_abs"": 0.0}"
high,3001,oracle,{},4,2,1.6117511749998812,0.7839437332670249,0.10200279728128091,0.06783042472145794,0.0,0.13634834761262807,0.8984075731351854,0.7085939406633514,1.0,0.2914060593366486,0.783958882962779,2.5953116913845986,10.0,9213262.91950378,0.9947509914398258,0.8417403257890226,6220724.062166525,0.05672529540042888,0.06719214979966638,5000,19000,
high,3002,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",4,2,1.5155561110004783,0.757253067969093,0.02621548512198384,0.02911911830463701,0.03470849957707526,0.023235398948934498,0.9734461501311182,0.734680304214965,1.0,0.26531969578503506,0.7565027471115159,1.75764254826423,10.0,4979605.247010361,0.9997725668030089,0.9446775561329572,11552178.988883246,0.031167209999694023,0.03351800023665419,5000,19000,
high,3002,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",4,2,1.6349502510001912,0.757253067969093,0.08130629608615603,0.05428883654717421,0.002281274683571756,0.1090351283932282,0.91815823697501,0.6926832274404796,1.0,0.3073167725595204,0.7565027471115159,2.66456844577379,10.0,8524264.79236119,0.9957292852020205,0.8322197395222445,16334545.274170214,0.058506625994596106,0.07092029945852119,5000,19000,
