scenario,seed,method,params,interval_slots,telemetry_delay_slots,wall_s,realised_load,violation_ratio,weighted_violation_ratio,violation_ratio_ll,violation_ratio_embb,served_ratio,fh_utilisation,fh_allocated_fraction,fh_unused_allocation_fraction,offered_fh_load,mean_queueing_delay_ms,p99_queueing_delay_ms,mean_backlog_bits,jain_fairness_service_ratio,min_cell_service_ratio,residual_backlog_bits,decision_time_ms_mean,decision_time_ms_p95,num_decisions,slots_counted,controller_stats
moderate,2000,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2555874009995023,0.64513853335966,0.019414891239249138,0.03459648935677453,0.06847107695528647,0.005247388415345488,0.9805575115053974,0.6282006341313091,1.0,0.3717993658686909,0.6406185520995997,1.913136297104256,10.0,4236949.339062483,0.9989099782015141,0.9196665320870318,5607295.303532228,0.032042432982962055,0.03744720015674829,1000,19000,
moderate,2001,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2550281239991818,0.656806738891215,0.021553779678177693,0.03580980147427047,0.06960000596902689,0.008708849145026221,0.9785946562934758,0.6456660116460575,1.0,0.3543339883539424,0.661055936494194,2.2624233885558085,10.0,5286002.374549536,0.9989048730531029,0.9169379074399159,3563248.33920146,0.03213715799665806,0.03646925042630755,1000,19000,
moderate,2002,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2763182230000893,0.6393961911166064,0.0219355859312159,0.03934092359332402,0.07107161188057846,0.003366270305757519,0.9779944173374043,0.6243620623196081,1.0,0.37563793768039183,0.6388573020527858,1.853136711764388,9.5,4064690.8711265116,0.9988583599894828,0.9201448504008689,8459884.408525934,0.03217140697506693,0.036732199896505335,1000,19000,
moderate,2003,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2605497949998608,0.6571917781018464,0.03688029828290053,0.049732319392063316,0.07879333969289054,0.024981313060688563,0.963245523269807,0.6348678957754986,1.0,0.36513210422450143,0.6579528422850036,2.4469004735886184,10.0,6103282.705688771,0.9988642132329959,0.9154693461227337,256457.54650463542,0.0316654759890298,0.036079499977859086,1000,19000,
high,2000,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2563012910004545,0.7940166564426582,0.05865629624862749,0.08353536044655846,0.13904783238908297,0.03543909542749801,0.9416584293157634,0.7415644731950977,1.0,0.25843552680490234,0.7884536025841227,3.2451006580124075,10.0,9083137.94510438,0.9968194857172463,0.8527445482170112,8044568.105586578,0.03209384697856876,0.03576835010790091,1000,19000,
high,2001,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.264357087999997,0.8083775247891877,0.06413383034360243,0.08483731540058663,0.13390956036736767,0.04547962013301009,0.935969872593816,0.7574417696920278,1.0,0.24255823030797222,0.8136073064543927,3.4597760176303796,10.0,10281818.714276353,0.9966406992274753,0.8504941477223169,6973537.70498655,0.0326749069881771,0.03829650022453279,1000,19000,
high,2002,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.278154194000308,0.7869491582973615,0.058964469151150875,0.08632653381330767,0.1362087688808139,0.0297725726915995,0.9410166721934071,0.7384198607828224,1.0,0.2615801392171776,0.7862859102188133,2.848419203094313,10.0,7923492.983567524,0.9967672703266018,0.8553140026980014,12108708.821208892,0.03224366600443318,0.03632775005826261,1000,19000,
high,2003,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2636287000004813,0.8088514192022725,0.08216603281983502,0.10394167419980524,0.1531808056042565,0.06200515440362054,0.9182876685941336,0.7460594859351978,1.0,0.25394051406480217,0.8097881135815428,3.2526546458670773,10.0,10268879.785895081,0.9958894492875502,0.8405478351087273,1453049.9780158899,0.03179003099012334,0.035564849531510845,1000,19000,
moderate,2000,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 60}",20,2,1.2310609149999436,0.64513853335966,0.0200394884363191,0.03562747876338915,0.07040884629343423,0.00549273945323212,0.9799633172566052,0.6278235676169719,1.0,0.37217643238302817,0.6406185520995997,2.120751089825992,10.0,4682593.563013935,0.9988389215048253,0.9166622342476949,5376269.996183458,0.034686372969190415,0.03912970000783389,1000,19000,
moderate,2001,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 60}",20,2,1.2511788170004365,0.656806738891215,0.02231422024005186,0.037192694012557585,0.07245825957732327,0.008908449346833148,0.9778293959118276,0.6450620848158007,1.0,0.35493791518419926,0.661055936494194,2.426394461470092,10.0,5655217.946597938,0.9988300452673581,0.9156531066365777,4060142.134796665,0.03636372600158211,0.04528239956016478,1000,19000,
